DATE,SEASON.SINCE,SITE,BLOCK,SEASON,Ardisia crenata,Ilex glabra,Myrica sp.,Pinus sp.,Rubus,NOTES
5/9/2021,2,ENF,13,W/D,0,0,0,0,0,
5/9/2021,1,ENF,13,S/SP,0,0,0,0,0,
5/9/2021,4,ENF,13,G/SU,0,0,0,0,0,
5/9/2021,3,ENF,13,C/F,0,0,0,0,0,
5/9/2021,2,ENF,16,W/D,3,0,0,0,0,
5/9/2021,1,ENF,16,S/SP,0,0,0,0,0,
5/9/2021,4,ENF,16,G/SU,0,0,0,0,0,
5/9/2021,3,ENF,16,C/F,0,0,0,0,0,
5/9/2021,2,ENF,14,W/D,0,0,0,0,0,
5/9/2021,1,ENF,14,S/SP,0,1,0,0,0,
5/9/2021,4,ENF,14,G/SU,0,0,0,0,0,
5/9/2021,3,ENF,14,C/F,0,0,0,0,0,
5/9/2021,2,ENF,15,W/D,0,0,0,0,0,
5/9/2021,1,ENF,15,S/SP,0,0,0,0,0,
5/9/2021,4,ENF,15,G/SU,0,0,0,0,0,
5/9/2021,3,ENF,15,C/F,0,0,0,0,0,
4/12/2022,1,TT,7,W/D,0,0,0,0,0,Check date
4/12/2022,4,TT,7,S/SP,0,0,0,0,0,
4/12/2022,3,TT,7,G/SU,0,0,0,2,0,
4/12/2022,2,TT,7,C/F,0,0,0,0,0,
4/12/2022,1,TT,8,W/D,0,0,0,0,0,
4/12/2022,4,TT,8,S/SP,0,0,0,0,0,
4/12/2022,3,TT,8,G/SU,0,0,0,0,0,
4/12/2022,2,TT,8,C/F,0,0,0,0,0,
4/12/2022,1,TT,1,W/D,0,0,0,0,0,
4/12/2022,4,TT,1,S/SP,0,0,0,1,0,
4/12/2022,3,TT,1,G/SU,0,0,0,5,0,
4/12/2022,2,TT,1,C/F,0,0,0,0,0,
4/12/2022,1,TT,3,W/D,0,0,0,1,0,
4/12/2022,4,TT,3,S/SP,0,0,0,0,0,
4/12/2022,3,TT,3,G/SU,0,0,0,1,0,
4/12/2022,2,TT,3,C/F,0,0,0,0,0,
4/12/2022,1,TT,5,W/D,0,0,0,1,0,
4/12/2022,4,TT,5,S/SP,0,0,0,0,0,
4/12/2022,3,TT,5,G/SU,0,0,0,0,0,
4/12/2022,2,TT,5,C/F,0,0,0,0,0,
4/12/2022,1,TT,2,W/D,0,0,0,0,0,
4/12/2022,4,TT,2,S/SP,0,0,0,0,0,
4/12/2022,3,TT,2,G/SU,0,0,0,0,0,
4/12/2022,2,TT,2,C/F,0,0,0,0,0,
4/12/2022,1,TT,4,W/D,0,0,0,0,0,
4/12/2022,4,TT,4,S/SP,0,0,0,0,0,
4/12/2022,3,TT,4,G/SU,0,0,0,1,0,
4/12/2022,2,TT,4,C/F,0,0,0,0,0,
4/12/2022,1,TT,6,W/D,0,0,0,0,0,
4/12/2022,4,TT,6,S/SP,0,0,0,0,0,
4/12/2022,3,TT,6,G/SU,0,0,0,0,0,
4/12/2022,2,TT,6,C/F,0,0,0,0,0,
4/24/2021,2,TT,1,W/D,0,0,0,0,0,
4/24/2021,1,TT,1,S/SP,0,0,0,0,0,
4/24/2021,3,TT,1,G/SU,0,0,0,0,0,
4/24/2021,4,TT,1,C/F,0,0,0,0,0,
4/24/2021,2,TT,3,W/D,0,0,0,0,0,
4/24/2021,1,TT,3,S/SP,0,0,0,0,0,
4/24/2021,3,TT,3,G/SU,0,0,0,0,0,
4/24/2021,4,TT,3,C/F,0,0,0,0,0,
4/24/2021,2,TT,2,W/D,0,0,0,0,0,
4/24/2021,1,TT,2,S/SP,0,0,0,0,0,
4/24/2021,3,TT,2,G/SU,0,0,0,1,0,
4/24/2021,4,TT,2,C/F,0,0,0,0,0,
5/28/2021,2,TT,3,W/D,0,0,0,0,0,
5/28/2021,1,TT,3,S/SP,0,0,0,0,0,
5/28/2021,3,TT,3,G/SU,0,0,0,1,0,
5/28/2021,4,TT,3,C/F,0,0,0,0,0,
5/28/2021,2,TT,2,W/D,0,0,0,0,0,
5/28/2021,1,TT,2,S/SP,0,0,0,0,0,
5/28/2021,3,TT,2,G/SU,0,0,0,0,0,
5/28/2021,4,TT,2,C/F,0,0,0,0,0,
5/28/2021,2,TT,1,W/D,0,0,0,1,0,6/03/2021?
5/28/2021,1,TT,1,S/SP,0,0,0,0,0,6/03/2021?
5/28/2021,3,TT,1,G/SU,0,0,0,2,0,6/03/2021?
5/28/2021,4,TT,1,C/F,0,0,0,0,61,6/03/2021?
3/22/2021,1,ENF,15,W/D,0,0,0,0,0,
3/22/2021,4,ENF,15,S/SP,0,0,0,0,0,
3/22/2021,3,ENF,15,G/SU,0,0,0,0,0,
3/22/2021,2,ENF,15,C/F,0,12,0,0,0,
3/22/2021,1,ENF,13,W/D,0,0,0,0,0,
3/22/2021,4,ENF,13,S/SP,0,0,0,0,0,
3/22/2021,3,ENF,13,G/SU,0,0,0,0,0,
3/22/2021,2,ENF,13,C/F,0,2,0,0,0,
3/22/2021,1,ENF,14,W/D,0,0,0,0,0,
3/22/2021,4,ENF,14,S/SP,0,0,0,0,0,
3/22/2021,3,ENF,14,G/SU,0,0,0,0,0,
3/22/2021,2,ENF,14,C/F,0,0,3,0,0,Check ID
3/22/2021,1,ENF,16,W/D,1,0,0,0,0,
3/22/2021,4,ENF,16,S/SP,0,0,0,0,0,
3/22/2021,3,ENF,16,G/SU,0,0,0,0,0,
3/22/2021,2,ENF,16,C/F,0,0,0,0,0,
